"","Bin","Time","Expression"
"1","TraesCS6A02G258600:E008",0,0.324524069
"2","TraesCS6A02G258600:E010",0,0.310403617
"3","TraesCS6B02G266800:E010",0,0.389581844
"4","TraesCS6A02G258600:E009",0,0.326122863
"5","TraesCS7B02G478200:E002",0,0.527663172
"6","TraesCS4B02G153700:E013",0,0.180133563
"7","TraesCS7A02G553800:E004",0,0.562407963
"8","TraesCS4B02G153700:E010",0,0.1614911
"9","TraesCS7A02G299400:E006",0,0.388543416
"10","TraesCS6A02G258600:E016",0,0.296562468
"11","TraesCS6B02G266800:E005",0,0.350709199
"12","TraesCS6D02G239800:E008",0,0.338816691
"13","TraesCS2D02G079600:E007",0,0.075127906
"14","TraesCS4A02G474100:E005",0,0.319091654
"15","TraesCS4A02G474100:E011",0,0.279911056
"16","TraesCS4B02G153700:E005",0,0.148817433
"17","TraesCS4D02G199600:E006",0,0.088641351
"18","TraesCS6A02G258600:E006",0,0.336571765
"19","TraesCS7A02G470700:E008",0,0.188962093
"20","TraesCS7B02G188000:E006",0,0.534370044
"21","TraesCS7D02G014900:E008",0,0.270971722
"22","TraesCS7D02G295400:E007",0,0.442070484
"23","TraesCS7D02G458000:E009",0,0.182784442
"24","TraesCS6A02G258600:E008",4,0.231978352
"25","TraesCS6A02G258600:E010",4,0.248575597
"26","TraesCS6B02G266800:E010",4,0.271543749
"27","TraesCS6A02G258600:E009",4,0.281789398
"28","TraesCS7B02G478200:E002",4,0.172804632
"29","TraesCS4B02G153700:E013",4,0.395692362
"30","TraesCS7A02G553800:E004",4,0.18729001
"31","TraesCS4B02G153700:E010",4,0.402700879
"32","TraesCS7A02G299400:E006",4,0.314503331
"33","TraesCS6A02G258600:E016",4,0.279733003
"34","TraesCS6B02G266800:E005",4,0.29599104
"35","TraesCS6D02G239800:E008",4,0.279544694
"36","TraesCS2D02G079600:E007",4,0.19615235
"37","TraesCS4A02G474100:E005",4,0.202914667
"38","TraesCS4A02G474100:E011",4,0.211485172
"39","TraesCS4B02G153700:E005",4,0.416415146
"40","TraesCS4D02G199600:E006",4,0.340687128
"41","TraesCS6A02G258600:E006",4,0.265380608
"42","TraesCS7A02G470700:E008",4,0.185524683
"43","TraesCS7B02G188000:E006",4,0.258192238
"44","TraesCS7D02G014900:E008",4,0.194690124
"45","TraesCS7D02G295400:E007",4,0.306927759
"46","TraesCS7D02G458000:E009",4,0.188966329
"47","TraesCS6A02G258600:E008",8,0.141914804
"48","TraesCS6A02G258600:E010",8,0.139273091
"49","TraesCS6B02G266800:E010",8,0.125901705
"50","TraesCS6A02G258600:E009",8,0.156863443
"51","TraesCS7B02G478200:E002",8,0.098459893
"52","TraesCS4B02G153700:E013",8,0.206614888
"53","TraesCS7A02G553800:E004",8,0.086674302
"54","TraesCS4B02G153700:E010",8,0.222977589
"55","TraesCS7A02G299400:E006",8,0.129058014
"56","TraesCS6A02G258600:E016",8,0.169659203
"57","TraesCS6B02G266800:E005",8,0.139933141
"58","TraesCS6D02G239800:E008",8,0.15465502
"59","TraesCS2D02G079600:E007",8,0.179517099
"60","TraesCS4A02G474100:E005",8,0.13447852
"61","TraesCS4A02G474100:E011",8,0.159374026
"62","TraesCS4B02G153700:E005",8,0.229805512
"63","TraesCS4D02G199600:E006",8,0.294295937
"64","TraesCS6A02G258600:E006",8,0.142440524
"65","TraesCS7A02G470700:E008",8,0.151818963
"66","TraesCS7B02G188000:E006",8,0.091440891
"67","TraesCS7D02G014900:E008",8,0.137581305
"68","TraesCS7D02G295400:E007",8,0.129836175
"69","TraesCS7D02G458000:E009",8,0.153589981
"70","TraesCS6A02G258600:E008",12,0.0961291
"71","TraesCS6A02G258600:E010",12,0.098264435
"72","TraesCS6B02G266800:E010",12,0.06592528
"73","TraesCS6A02G258600:E009",12,0.087518359
"74","TraesCS7B02G478200:E002",12,0.039959367
"75","TraesCS4B02G153700:E013",12,0.123115366
"76","TraesCS7A02G553800:E004",12,0.029637815
"77","TraesCS4B02G153700:E010",12,0.119691184
"78","TraesCS7A02G299400:E006",12,0.064517411
"79","TraesCS6A02G258600:E016",12,0.094637314
"80","TraesCS6B02G266800:E005",12,0.070774518
"81","TraesCS6D02G239800:E008",12,0.075577503
"82","TraesCS2D02G079600:E007",12,0.240014361
"83","TraesCS4A02G474100:E005",12,0.107052558
"84","TraesCS4A02G474100:E011",12,0.110707758
"85","TraesCS4B02G153700:E005",12,0.120866829
"86","TraesCS4D02G199600:E006",12,0.170306977
"87","TraesCS6A02G258600:E006",12,0.087577347
"88","TraesCS7A02G470700:E008",12,0.150649289
"89","TraesCS7B02G188000:E006",12,0.045985778
"90","TraesCS7D02G014900:E008",12,0.125269243
"91","TraesCS7D02G295400:E007",12,0.056505075
"92","TraesCS7D02G458000:E009",12,0.15306153
"93","TraesCS6A02G258600:E008",16,0.079153743
"94","TraesCS6A02G258600:E010",16,0.077878035
"95","TraesCS6B02G266800:E010",16,0.050066387
"96","TraesCS6A02G258600:E009",16,0.057663433
"97","TraesCS7B02G478200:E002",16,0.055553031
"98","TraesCS4B02G153700:E013",16,0.052632993
"99","TraesCS7A02G553800:E004",16,0.042586288
"100","TraesCS4B02G153700:E010",16,0.053367926
"101","TraesCS7A02G299400:E006",16,0.035461275
"102","TraesCS6A02G258600:E016",16,0.064185079
"103","TraesCS6B02G266800:E005",16,0.055094346
"104","TraesCS6D02G239800:E008",16,0.053512189
"105","TraesCS2D02G079600:E007",16,0.163599916
"106","TraesCS4A02G474100:E005",16,0.107713918
"107","TraesCS4A02G474100:E011",16,0.11984637
"108","TraesCS4B02G153700:E005",16,0.050207648
"109","TraesCS4D02G199600:E006",16,0.067537059
"110","TraesCS6A02G258600:E006",16,0.066423736
"111","TraesCS7A02G470700:E008",16,0.171679557
"112","TraesCS7B02G188000:E006",16,0.021514485
"113","TraesCS7D02G014900:E008",16,0.132151234
"114","TraesCS7D02G295400:E007",16,0.026821318
"115","TraesCS7D02G458000:E009",16,0.157408792
"116","TraesCS6A02G258600:E008",20,0.126299932
"117","TraesCS6A02G258600:E010",20,0.125605224
"118","TraesCS6B02G266800:E010",20,0.096981034
"119","TraesCS6A02G258600:E009",20,0.090042504
"120","TraesCS7B02G478200:E002",20,0.105559905
"121","TraesCS4B02G153700:E013",20,0.041810827
"122","TraesCS7A02G553800:E004",20,0.091403622
"123","TraesCS4B02G153700:E010",20,0.039771322
"124","TraesCS7A02G299400:E006",20,0.067916552
"125","TraesCS6A02G258600:E016",20,0.095222934
"126","TraesCS6B02G266800:E005",20,0.087497756
"127","TraesCS6D02G239800:E008",20,0.097893904
"128","TraesCS2D02G079600:E007",20,0.145588367
"129","TraesCS4A02G474100:E005",20,0.128748683
"130","TraesCS4A02G474100:E011",20,0.118675617
"131","TraesCS4B02G153700:E005",20,0.033887432
"132","TraesCS4D02G199600:E006",20,0.038531547
"133","TraesCS6A02G258600:E006",20,0.101606021
"134","TraesCS7A02G470700:E008",20,0.151365416
"135","TraesCS7B02G188000:E006",20,0.048496565
"136","TraesCS7D02G014900:E008",20,0.139336372
"137","TraesCS7D02G295400:E007",20,0.037839188
"138","TraesCS7D02G458000:E009",20,0.164188926
