Bin,0,4,8,12,16,20
TraesCS6A02G258600:E008,0.324524069,0.231978352,0.141914804,0.0961291,0.079153743,0.126299932
TraesCS6A02G258600:E010,0.310403617,0.248575597,0.139273091,0.098264435,0.077878035,0.125605224
TraesCS6B02G266800:E010,0.389581844,0.271543749,0.125901705,0.06592528,0.050066387,0.096981034
TraesCS6A02G258600:E009,0.326122863,0.281789398,0.156863443,0.087518359,0.057663433,0.090042504
TraesCS7B02G478200:E002,0.527663172,0.172804632,0.098459893,0.039959367,0.055553031,0.105559905
TraesCS4B02G153700:E013,0.180133563,0.395692362,0.206614888,0.123115366,0.052632993,0.041810827
TraesCS7A02G553800:E004,0.562407963,0.18729001,0.086674302,0.029637815,0.042586288,0.091403622
TraesCS4B02G153700:E010,0.1614911,0.402700879,0.222977589,0.119691184,0.053367926,0.039771322
TraesCS7A02G299400:E006,0.388543416,0.314503331,0.129058014,0.064517411,0.035461275,0.067916552
TraesCS6A02G258600:E016,0.296562468,0.279733003,0.169659203,0.094637314,0.064185079,0.095222934
TraesCS6B02G266800:E005,0.350709199,0.29599104,0.139933141,0.070774518,0.055094346,0.087497756
TraesCS6D02G239800:E008,0.338816691,0.279544694,0.15465502,0.075577503,0.053512189,0.097893904
TraesCS2D02G079600:E007,0.075127906,0.19615235,0.179517099,0.240014361,0.163599916,0.145588367
TraesCS4A02G474100:E005,0.319091654,0.202914667,0.13447852,0.107052558,0.107713918,0.128748683
TraesCS4A02G474100:E011,0.279911056,0.211485172,0.159374026,0.110707758,0.11984637,0.118675617
TraesCS4B02G153700:E005,0.148817433,0.416415146,0.229805512,0.120866829,0.050207648,0.033887432
TraesCS4D02G199600:E006,0.088641351,0.340687128,0.294295937,0.170306977,0.067537059,0.038531547
TraesCS6A02G258600:E006,0.336571765,0.265380608,0.142440524,0.087577347,0.066423736,0.101606021
TraesCS7A02G470700:E008,0.188962093,0.185524683,0.151818963,0.150649289,0.171679557,0.151365416
TraesCS7B02G188000:E006,0.534370044,0.258192238,0.091440891,0.045985778,0.021514485,0.048496565
TraesCS7D02G014900:E008,0.270971722,0.194690124,0.137581305,0.125269243,0.132151234,0.139336372
TraesCS7D02G295400:E007,0.442070484,0.306927759,0.129836175,0.056505075,0.026821318,0.037839188
TraesCS7D02G458000:E009,0.182784442,0.188966329,0.153589981,0.15306153,0.157408792,0.164188926
