sample	bam	condition
S1	sort_trim_S1_filter2.bam.core.bam	24
S2	sort_trim_S2_filter2.bam.core.bam	24
S3	sort_trim_S3_filter2.bam.core.bam	24
S19	sort_trim_S19_filter2.bam.core.bam	24
S20	sort_trim_S20_filter2.bam.core.bam	24
S21	sort_trim_S21_filter2.bam.core.bam	24
S37	sort_trim_S37_filter2.bam.core.bam	24
S38	sort_trim_S38_filter2.bam.core.bam	24
S39	sort_trim_S39_filter2.bam.core.bam	24
S4	sort_trim_S4_filter2.bam.core.bam	4
S5	sort_trim_S5_filter2.bam.core.bam	4
S6	sort_trim_S6_filter2.bam.core.bam	4
S22	sort_trim_S22_filter2.bam.core.bam	4
S23	sort_trim_S23_filter2.bam.core.bam	4
S24	sort_trim_S24_filter2.bam.core.bam	4
S40	sort_trim_S40_filter2.bam.core.bam	4
S41	sort_trim_S41_filter2.bam.core.bam	4
S42	sort_trim_S42_filter2.bam.core.bam	4
S7	sort_trim_S7_filter2.bam.core.bam	8
S8	sort_trim_S8_filter2.bam.core.bam	8
S9	sort_trim_S9_filter2.bam.core.bam	8
S25	sort_trim_S25_filter2.bam.core.bam	8
S26	sort_trim_S26_filter2.bam.core.bam	8
S27	sort_trim_S27_filter2.bam.core.bam	8
S43	sort_trim_S43_filter2.bam.core.bam	8
S44	sort_trim_S44_filter2.bam.core.bam	8
S45	sort_trim_S45_filter2.bam.core.bam	8
S10	sort_trim_S10_filter2.bam.core.bam	12
S11	sort_trim_S11_filter2.bam.core.bam	12
S12	sort_trim_S12_filter2.bam.core.bam	12
S28	sort_trim_S28_filter2.bam.core.bam	12
S29	sort_trim_S29_filter2.bam.core.bam	12
S30	sort_trim_S30_filter2.bam.core.bam	12
S46	sort_trim_S46_filter2.bam.core.bam	12
S47	sort_trim_S47_filter2.bam.core.bam	12
S48	sort_trim_S48_filter2.bam.core.bam	12
S13	sort_trim_S13_filter2.bam.core.bam	16
S14	sort_trim_S14_filter2.bam.core.bam	16
S15	sort_trim_S15_filter2.bam.core.bam	16
S31	sort_trim_S31_filter2.bam.core.bam	16
S32	sort_trim_S32_filter2.bam.core.bam	16
S33	sort_trim_S33_filter2.bam.core.bam	16
S49	sort_trim_S49_filter2.bam.core.bam	16
S50	sort_trim_S50_filter2.bam.core.bam	16
S51	sort_trim_S51_filter2.bam.core.bam	16
S16	sort_trim_S16_filter2.bam.core.bam	20
S17	sort_trim_S17_filter2.bam.core.bam	20
S18	sort_trim_S18_filter2.bam.core.bam	20
S34	sort_trim_S34_filter2.bam.core.bam	20
S35	sort_trim_S35_filter2.bam.core.bam	20
S36	sort_trim_S36_filter2.bam.core.bam	20
S52	sort_trim_S52_filter2.bam.core.bam	20
S53	sort_trim_S53_filter2.bam.core.bam	20
S54	sort_trim_S54_filter2.bam.core.bam	20
